Application Ref. No.,Submission Date,Mobile,Other 1 Max Score,Marks Obtained,PE 2 Percentage,PE 3 Degree,PE 2 Rank,Other 2 Valid Upto,Rank,Preference 3,PE 1 Board / University,PE 1 Year,Status,Other 1 Discipline,PE 2 Subjects,Other 1 Score,Data Integration & Logical Reasoning Percentile,PE 3 Score,Maximum Marks,PE 2 Board / University,Other 2 Max Score,Referee 1 Organization,Phd area of research,Referee 1 Name,PE 3 Rank,GATE 2017 Score,Parent Email Id,GATE 2017 Rank,Experience 1 From,Institute Assistantship,Referee 2 Name,Other 1 Valid Upto,Finance Method,GATE 2019 Discipline,Year of Admission,Programme,No. of Book Chapters,GATE 2019 Reg ID,PE 2 Max Score,Qualifying Discipline,Name,Department,No. of Papers in Conf Not published,Father's Name,PE 3 Max Score,Experience 1 Organization,Referee 2 Phone,test,PE 1 Score,GATE 2018 Discipline,Other 2 Test Name,Other 2 Score,Aadhaar Number,View,Other 2 Discipline,Permanent Address,Finance Details,Experience 1 To,Mother's Name,PE 3 Board / University,GATE 2018 Score,Evaluation Pattern,PE 2 Score,PE 1 Subjects,PE 2 Year,GATE 2018 Rank,GATE 2019 Rank,Other 1 Test Year,Referee 2 Email,PE 3 Year,Percentile,Experience 1 Roles & Responsibility,GATE 2019 Score,GATE 2018 Reg ID,Marital Status,PwD?,Quantitative Aptitude Percentile,Other 2 Rank,GATE 2017 Reg ID,Duration,PE 3 Subjects,PE 3 Percentage,No. of Papers in Conference,Other 2 Roll No./ Reg ID,Nationality,University Name,PE 1 Percentage,Referee 2 Address,University City,PE 1 Degree,Evaluation Method,Degree Status,Qualifying Degree,Referee 1 Email,PE 1 Rank,Experience 1 Total Pay,Referee 1 Phone,Other 1 Test Name,Other 2 Test Year,Total Experience,Payment Status,Preference 2,Fee,Category,Alt. Email,Other 1 Roll No./ Reg ID,University Country,PE 1 Max Score,Other 1 Rank,Referee 1 Address,DOB,S.No.,Experience 1 Designation,Preference 1,GATE 2017 Discipline,PE 2 Degree,Payment Date,Institute Name,Verbal & Reading Comprehension Percentile,No. of Papers,final_test,Referee 2 Organization,Percentage,Email,Year of Completion,Gender
IITKPG2\M TECH\EE\11,25/10/19,11,,3779.0,62.6,,,,FIRST,,CBSE,2007.0,Awarded,,"PHYSICS,CHEMISTRY, MATHS",,,,5000.0,CBSE,,,,,,,,,19-Mar,Yes,,,,Electronics and Communication Engineering (EC),2010,MASTER OF TECHNOLOGY (M. Tech),,x11,500.0,Electronics and Communication Engineering (EC),ab1,EE,,yz9,,"ELECTRONICS CORPORATION OF INDIA LIMITED, NEW DELH",,,258.0,,,,,View,,def10,,19-Jun,abcde10,,,Semester,313.0,SCIENCE,2010.0,,123,,,,81.12,FIRST LEVEL CHECKING OF  ELECTRONIC VOTING MACHINE,234,,,No,,,,4,,,,,India,hdqzc11,51.6,,LUCKNOW,Secondary or equivalent,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,"19,188/-",,,,,Complete,RF and Microwave,400.0,OBC-NCL,,,India,500.0,,,21/12/96,11,JUNIOR TECHNICAL OFFICER (C),Photonics,,Higher Secondary (10+2) or equivalent,,nhfc10,,,,,75.58,123@newmail.com,2014,Male
IITKPG2\M TECH\EE\12,4/10/2019,12,,3932.0,92.29,,,,,RF and Microwave,CBSE,2014.0,Awarded,,"Eng,Hindi,Science,E.Ed,Social studies,Computer Applications",,,,5000.0,ICSE,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2014,MASTER OF TECHNOLOGY (M. Tech),,x12,700.0,ELECTRICAL AND ELECTRONICS,ab2,EE,,yz10,,,,,421.0,,,,,View,,def11,,,abcde11,,,Semester,646.0,"PCM,English,Physical Education",2012.0,,123,,,,96.98,,234,,,No,,,,4,,,,,India,hdqzc12,84.2,,LUCKNOW,Higher Secondary (10+2) or equivalent,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,Photonics,400.0,GENERAL,,,India,500.0,,,4/8/1994,12,,Power Engineering,,Secondary or equivalent,,nhfc11,,,,,78.64,456@newmail.com,2018,Male
IITKPG2\M TECH\EE\13,24/10/19,13,,3626.0,,,,,,,,,Awarded,,,,,,5000.0,,,,,,,,,,,Yes,,,,Electronics and Communication Engineering (EC),2013,MASTER OF TECHNOLOGY (M. Tech),,x13,,ELECTRONIC ENGINEERING,ab3,EE,,yz11,,,,,,,,,,View,,def12,,,abcde12,,,Semester,,,,,123,,,,96.8,,234,,,No,,,,4,,,,,India,hdqzc13,,,ALLAHABAD,,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,Photonics,400.0,Economically Weaker Sections,,,India,,,,29/12/93,13,,RF and Microwave,,,,nhfc12,,,,,72.52,123@newmail.com,2017,Male
IITKPG2\M TECH\EE\14,9/10/2019,14,,8.2,89.4,,,,,Photonics,CBSE,2011.0,Awarded,,MATHS SCIENCE,,,,10.0,CBSE,,,,,,,,,17-Jul,Yes,,,,Electrical Engineering (EE),2013,MASTER OF TECHNOLOGY (M. Tech),,x14,500.0,Electrical Engineering (EE),ab4,EE,,yz12,,CHAMBAL FERTILISERS AND CHEMICALS LIMITED KOTA,,,0.0,,,,,View,,def13,,18-Jun,abcde13,,,Semester,447.0,MATHS SCIENCE,2013.0,,123,,,,45.0,Learnt about the processes involved in Chemical Industry for production of Ammonia and Urea. ���� Learnt about the key Electrical Maintenance activities in a process industry.,234,,,No,,,,4,,,,,India,hdqzc14,91.2,,BHOPAL,Secondary or equivalent,CGPA,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,35330,,,,,Complete,RF and Microwave,400.0,GENERAL,,,India,0.0,,,19/02/92,14,GRADUATE ENGINEER TRAINEE,Power Engineering,,Higher Secondary (10+2) or equivalent,,nhfc13,,,53.0,,N.A.,456@newmail.com,2017,Male
IITKPG2\M TECH\EE\15,15/10/19,15,,4640.0,70.4,,,,,Photonics,BIHAR SCHOOL EXAMINATION BOARD,2010.0,Awarded,,"HINDI, ENGLISH, MATH, PHYSICS, CHEMISTRY",,,,6400.0,BIHAR SCHOOL SCHOOL EXAMINATION BOARD,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2013,MASTER OF TECHNOLOGY (M. Tech),,x15,500.0,Electrical Engineering (EE),ab5,EE,,yz13,,,,,364.0,,,,25976.0,View,,def14,,,abcde14,,,Semester,352.0,"HINDI, SANSKRIT, MATH, SCIENCE, SOCIAL SCIENCE",2012.0,,123,,,,56.0,,234,,,No,,,,4,,,,,India,hdqzc15,72.8,,HARIDWAR,Secondary or equivalent,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,OBC-NCL,,,India,500.0,,,29/12/93,15,,Power Engineering,,Higher Secondary (10+2) or equivalent,,nhfc14,,,,,72.5,123@newmail.com,2017,Male
IITKPG2\M TECH\EE\16,24/10/19,16,,3186.0,,,,,,Photonics,,,Awarded,,,,,,5200.0,,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2013,MASTER OF TECHNOLOGY (M. Tech),,x16,,electronics and electrical engineering,ab6,EE,,yz14,,,,8.0,,,,,,View,,def15,,,abcde15,,,Semester,,,,,123,,,,98.9,,234,,,No,,,,4,,,,,India,hdqzc16,,,jodhpur,,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,Economically Weaker Sections,,,India,,,,19/02/92,16,,Power Engineering,,,,nhfc15,,,,,61.27,456@newmail.com,2017,Male
IITKPG2\M TECH\EE\17,29/10/19,17,,9.01,74.17,BE/BTech - Bachelor of Engineering/Technology,,,,,Gujarat Secondary and Higher Secondary Education Board,2013.0,Awarded,,SCIENCE,,,9.36,10.0,Gujarat Secondary and Higher Secondary Education Board,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2015,MASTER OF TECHNOLOGY (M. Tech),,x17,600.0,Electrical Engineering (EE),ab7,EE,,yz15,10.0,,,,480.0,,,,,View,,def16,,,abcde16,Gujarat Technological University,,Semester,445.0,GUJARATI MATHS SCIENCE,2015.0,,123,,,2019.0,91.83,,234,,,No,,,,4,ELECTRICAL,86.6,,,India,hdqzc17,80.0,,Ahmedabad,Secondary or equivalent,CGPA,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,,400.0,GENERAL,,,India,600.0,,,21/12/96,17,,Power Engineering,,Higher Secondary (10+2) or equivalent,,nhfc16,,,,,N.A.,123@newmail.com,2019,Male
IITKPG2\M TECH\EE\18,9/10/2019,18,,5239.0,,,,,,Photonics,,,Awarded,,,,,,8000.0,,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2013,MASTER OF TECHNOLOGY (M. Tech),,x18,,Electrical Engineering (EE),ab8,EE,,yz16,,,,87.0,,,,,,View,,def17,,,abcde17,,,Semester,,,,,123,,,,98.99,,234,,,No,,,,4,,,,,India,hdqzc18,,,SULTANPUR,,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,GENERAL,,,India,,,,4/8/1994,18,,Power Engineering,,,,nhfc17,,,,,65.49,456@newmail.com,2017,Male
IITKPG2\M TECH\EE\19,4/10/2019,19,,5187.0,79.0,BE/BTech - Bachelor of Engineering/Technology,,,,Photonics,STATE BOARD,2011.0,Awarded,,"URDU,ENGLISH, HYSICS,CHEMISTRY,BIOLOGY,MATHEMATICS",,,0.0,6800.0,STATE BOARD,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2013,MASTER OF TECHNOLOGY (M. Tech),,x19,100.0,Electrical Engineering (EE),ab9,EE,,yz17,100.0,,,65.0,0.0,,,,,View,,def18,,,abcde18,VTU BELAGAVI,,Semester,0.0,"URDU, KANNADA,ENGISH,SCIENCE,MATHEMATICS,SOCIAL SCIENCE,",2013.0,,123,,,2017.0,60.67,,234,,,No,,,,4,ELECTRICAL ENGINEERING,76.27,,,India,hdqzc19,89.6,,BELAGAVI,Secondary or equivalent,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,OBC-NCL,,,India,100.0,,,10/6/1995,19,,Power Engineering,,Higher Secondary (10+2) or equivalent,,nhfc18,,,3.0,,76.28,123@newmail.com,2017,Male
IITKPG2\M TECH\EE\20,4/10/2019,20,,6342.0,,,,,,,U.P.BOARD,2013.0,Awarded,,,,,,8000.0,,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2013,MASTER OF TECHNOLOGY (M. Tech),,x20,,Electrical Engineering (EE),ab10,EE,,yz18,,,,,443.0,,,,,View,,def19,,,abcde19,,,Semester,,"PHYSICS ,CHEMISTRY ,MATHS,HINDI,ENGLISH",,,123,,,,95.17,,234,,,No,,,,4,,,,,India,hdqzc20,88.6,,LUCKNOW,Higher Secondary (10+2) or equivalent,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Incomplete,RF and Microwave,,OBC-NCL,,,India,500.0,,,18/10/95,20,,Power Engineering,,,,nhfc19,,,53.0,,79.28,456@newmail.com,2017,Male
IITKPG2\M TECH\EE\21,7/10/2019,21,,8.54,,,,,,Photonics,UP BOARD,2014.0,Awarded,,,,,,8.92,,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2015,MASTER OF TECHNOLOGY (M. Tech),,x21,,Electrical Engineering (EE),ab11,EE,,yz19,,,,,425.0,,,,,View,,def20,,,abcde20,,,Semester,,PCM,,,123,,,,,,234,,,No,,,,4,,,,,India,hdqzc21,85.0,,NEW DELHI,Higher Secondary (10+2) or equivalent,CGPA,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,OBC-NCL,,,India,500.0,,,19/02/92,21,,Power Engineering,,,,nhfc20,,,,,N.A.,123@newmail.com,2019,Male
IITKPG2\M TECH\EE\22,10/10/2019,22,,7.53,,,,,,Photonics,WEST BENGAL BOARD OF HIGHER SECONDARY EDUCATION,2013.0,Awarded,,,,,,10.0,,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2014,MASTER OF TECHNOLOGY (M. Tech),,x22,,Electrical Engineering (EE),ab12,EE,,yz20,,,,,292.0,,,,,View,,def21,,,abcde21,,,Semester,,"BENGALI,ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",,,123,,,,56.0,,234,,,No,,,,4,,,,,India,hdqzc22,58.4,,KOLKATA,Higher Secondary (10+2) or equivalent,CGPA,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,GENERAL,s@newmail.com,,India,500.0,,,29/12/93,22,,Power Engineering,,,,nhfc21,,,,,N.A.,456@newmail.com,2018,Male
IITKPG2\M TECH\EE\23,8/10/2019,23,,8.6,89.2,,,,,Power Engineering,Board of Secondary Education Assam,2013.0,Awarded,,Science[PCM],,,,10.0,Central Board of Secondary Education,,,,,,,,,,Yes,,,,Electronics and Communication Engineering (EC),2015,MASTER OF TECHNOLOGY (M. Tech),,x23,500.0,Electronics and Telecommunication,ab13,EE,,yz21,,,,,484.0,,,,,View,,def22,,,abcde22,,,Semester,446.0,0,2015.0,,123,,,,98.9,,234,,,No,,,,4,,,,,India,hdqzc23,80.67,,Bhubaneshwar,Secondary or equivalent,CGPA,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,GENERAL,random@kiit.ac.in,,India,600.0,,,19/02/92,23,,Photonics,,Higher Secondary (10+2) or equivalent,,nhfc22,,,,,N.A.,123@newmail.com,2019,Male
IITKPG2\M TECH\EE\24,4/10/2019,24,,5696.0,,,,,,Photonics,CBSE,2014.0,Awarded,,,,,,8000.0,,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2015,MASTER OF TECHNOLOGY (M. Tech),,x24,,Electrical Engineering (EE),ab14,EE,,yz22,,,,,397.0,,,,,View,,def23,,,abcde23,,,Semester,,PCM,,,123,,,,91.83,,234,,,No,,,,4,,,,,India,hdqzc24,79.4,,Bikaner,Higher Secondary (10+2) or equivalent,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,OBC,,,India,500.0,,,21/12/96,24,,Power Engineering,,,,nhfc23,,,,,71.2,456@newmail.com,2019,Male
IITKPG2\M TECH\EE\25,24/10/19,25,,2581.0,,,,,,Photonics,C.B.S.E.,2012.0,Awarded,,,,,,4100.0,,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2013,MASTER OF TECHNOLOGY (M. Tech),,x25,,ELECTRICAL & ELECTRONICS ENGINEERING,ab15,EE,,yz23,,,,,356.0,,,,,View,,def24,,,abcde24,,,Semester,,"ENGLISH, MUSIC, MATHEMATICS, PHYSICS,CHEMISTRY",,,123,,,,95.28,,234,,,No,,,,4,,,,,India,hdqzc25,71.2,,JODHPUR,Higher Secondary (10+2) or equivalent,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,OBC-NCL,,,India,500.0,,,4/8/1994,25,,Power Engineering,,,,nhfc24,,,,,62.95,123@newmail.com,2017,Male
IITKPG91\M TECH\EE\1,1/10/2019,1,,1400.0,,,,,,,,,Awarded,,,,,,2000.0,,,,,,,,,,,Yes,,,,Mechanical Engineering (ME),2014,MASTER OF TECHNOLOGY (M. Tech),,x1,,test,Test  Data,EE,,test,,,,,,,,,,View,,"test , test - 208016",,,,,,Yearly,,,,,123,,,,,,234,,,No,,,,4,,,,,India,hdqzc1,,,test,,Percentage,Full Time,Bachelors Degree,,,,,,,,Incomplete,Power Engineering,,Economically Weaker Sections,,,India,,,,21/12/96,199,,Photonics,,,,test,,,,,70,123@newmail.com,2018,Male
