Application Ref. No.,PE 1 Score,PE 2 Rank,PE 2 Year,Marital Status,GATE 2017 Score,Other 2 Rank,Experience 1 Designation,Referee 1 Organization,GATE 2018 Reg ID,Other 1 Test Year,Experience 1 Organization,Data Integration & Logical Reasoning Percentile,Other 1 Discipline,final_test,Referee 2 Address,DOB,Experience 1 From,Institute Assistantship,Referee 1 Email,Payment Status,GATE 2018 Discipline,University Country,Other 2 Test Name,No. of Papers in Conference,PE 3 Degree,Evaluation Pattern,GATE 2017 Reg ID,Other 2 Max Score,Submission Date,PE 2 Score,Finance Method,Mobile,S.No.,PE 2 Subjects,Referee 1 Phone,GATE 2018 Rank,PE 1 Degree,Referee 2 Phone,PE 1 Board / University,Alt. Email,No. of Papers,Quantitative Aptitude Percentile,PE 3 Score,No. of Papers in Conf Not published,PE 3 Max Score,GATE 2018 Score,Referee 1 Name,Institute Name,Referee 1 Address,Total Experience,PE 1 Max Score,PE 1 Year,Programme,Phd area of research,Gender,University City,PE 2 Percentage,Marks Obtained,Preference 3,GATE 2019 Rank,Other 1 Test Name,Referee 2 Organization,No. of Book Chapters,Mother's Name,Preference 1,PE 3 Percentage,Other 1 Rank,Experience 1 Total Pay,Other 1 Score,Other 2 Score,University Name,View,Preference 2,Other 2 Roll No./ Reg ID,Other 1 Valid Upto,Nationality,PE 3 Rank,Other 2 Valid Upto,Rank,PE 2 Degree,PE 1 Subjects,GATE 2017 Discipline,Year of Admission,Status,Experience 1 To,Other 2 Test Year,Qualifying Degree,PE 1 Percentage,Qualifying Discipline,Referee 2 Email,GATE 2019 Discipline,Verbal & Reading Comprehension Percentile,Other 1 Roll No./ Reg ID,Duration,PE 3 Subjects,PE 3 Board / University,Referee 2 Name,PE 2 Max Score,GATE 2019 Score,Father's Name,Experience 1 Roles & Responsibility,Email,Fee,Other 2 Discipline,GATE 2019 Reg ID,Evaluation Method,Payment Date,Percentile,PwD?,PE 1 Rank,Other 1 Max Score,Maximum Marks,Name,Category,Permanent Address,PE 2 Board / University,Aadhaar Number,test,Year of Completion,Finance Details,Degree Status,Parent Email Id,Percentage,PE 3 Year,GATE 2017 Rank,Department
IITKPG2\M TECH\EE\11,258.0,,2010.0,,,,JUNIOR TECHNICAL OFFICER (C),,,,"ELECTRONICS CORPORATION OF INDIA LIMITED, NEW DELH",,,,,21/12/96,19-Mar,Yes,,Complete,,India,,,,Semester,,,25/10/19,313.0,,11,11,"PHYSICS,CHEMISTRY, MATHS",,,Secondary or equivalent,,CBSE,,,,,,,,,nhfc10,,,500.0,2007.0,MASTER OF TECHNOLOGY (M. Tech),,Male,LUCKNOW,62.6,3779.0,,123,,,,abcde10,Photonics,,,"19,188/-",,,hdqzc11,View,RF and Microwave,,,India,,,FIRST,Higher Secondary (10+2) or equivalent,SCIENCE,,2010,Awarded,19-Jun,,BE/BTech - Bachelor of Engineering/Technology,51.6,Electronics and Communication Engineering (EC),,Electronics and Communication Engineering (EC),,,4,,,,500.0,234,yz9,FIRST LEVEL CHECKING OF  ELECTRONIC VOTING MACHINE,123@newmail.com,400.0,,x11,Percentage,,81.12,No,,,5000.0,ab1,OBC-NCL,def10,CBSE,,,2014,,Full Time,,75.58,,,EE
IITKPG2\M TECH\EE\12,421.0,,2012.0,,,,,,,,,,,,,4/8/1994,,Yes,,Complete,,India,,,,Semester,,,4/10/2019,646.0,,12,12,"Eng,Hindi,Science,E.Ed,Social studies,Computer Applications",,,Higher Secondary (10+2) or equivalent,,CBSE,,,,,,,,,nhfc11,,,500.0,2014.0,MASTER OF TECHNOLOGY (M. Tech),,Male,LUCKNOW,92.29,3932.0,RF and Microwave,123,,,,abcde11,Power Engineering,,,,,,hdqzc12,View,Photonics,,,India,,,,Secondary or equivalent,"PCM,English,Physical Education",,2014,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,84.2,ELECTRICAL AND ELECTRONICS,,Electrical Engineering (EE),,,4,,,,700.0,234,yz10,,456@newmail.com,400.0,,x12,Percentage,,96.98,No,,,5000.0,ab2,GENERAL,def11,ICSE,,,2018,,Full Time,,78.64,,,EE
IITKPG2\M TECH\EE\13,,,,,,,,,,,,,,,,29/12/93,,Yes,,Complete,,India,,,,Semester,,,24/10/19,,,13,13,,,,,,,,,,,,,,,nhfc12,,,,,MASTER OF TECHNOLOGY (M. Tech),,Male,ALLAHABAD,,3626.0,,123,,,,abcde12,RF and Microwave,,,,,,hdqzc13,View,Photonics,,,India,,,,,,,2013,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,,ELECTRONIC ENGINEERING,,Electronics and Communication Engineering (EC),,,4,,,,,234,yz11,,123@newmail.com,400.0,,x13,Percentage,,96.8,No,,,5000.0,ab3,Economically Weaker Sections,def12,,,,2017,,Full Time,,72.52,,,EE
IITKPG2\M TECH\EE\14,0.0,,2013.0,,,,GRADUATE ENGINEER TRAINEE,,,,CHAMBAL FERTILISERS AND CHEMICALS LIMITED KOTA,,,53.0,,19/02/92,17-Jul,Yes,,Complete,,India,,,,Semester,,,9/10/2019,447.0,,14,14,MATHS SCIENCE,,,Secondary or equivalent,,CBSE,,,,,,,,,nhfc13,,,0.0,2011.0,MASTER OF TECHNOLOGY (M. Tech),,Male,BHOPAL,89.4,8.2,Photonics,123,,,,abcde13,Power Engineering,,,35330,,,hdqzc14,View,RF and Microwave,,,India,,,,Higher Secondary (10+2) or equivalent,MATHS SCIENCE,,2013,Awarded,18-Jun,,BE/BTech - Bachelor of Engineering/Technology,91.2,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,,,,500.0,234,yz12,Learnt about the processes involved in Chemical Industry for production of Ammonia and Urea. ���� Learnt about the key Electrical Maintenance activities in a process industry.,456@newmail.com,400.0,,x14,CGPA,,45.0,No,,,10.0,ab4,GENERAL,def13,CBSE,,,2017,,Full Time,,N.A.,,,EE
IITKPG2\M TECH\EE\15,364.0,,2012.0,,,,,,,,,,,,,29/12/93,,Yes,,Complete,,India,,,,Semester,,,15/10/19,352.0,,15,15,"HINDI, ENGLISH, MATH, PHYSICS, CHEMISTRY",,,Secondary or equivalent,,BIHAR SCHOOL EXAMINATION BOARD,,,,,,,,,nhfc14,,,500.0,2010.0,MASTER OF TECHNOLOGY (M. Tech),,Male,HARIDWAR,70.4,4640.0,Photonics,123,,,,abcde14,Power Engineering,,,,,,hdqzc15,View,RF and Microwave,,,India,,,,Higher Secondary (10+2) or equivalent,"HINDI, SANSKRIT, MATH, SCIENCE, SOCIAL SCIENCE",,2013,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,72.8,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,,,,500.0,234,yz13,,123@newmail.com,400.0,,x15,Percentage,,56.0,No,,,6400.0,ab5,OBC-NCL,def14,BIHAR SCHOOL SCHOOL EXAMINATION BOARD,25976.0,,2017,,Full Time,,72.5,,,EE
IITKPG2\M TECH\EE\16,,,,,,,,,,,,,,,,19/02/92,,Yes,,Complete,,India,,,,Semester,,,24/10/19,,,16,16,,,,,,,,,,,,,,,nhfc15,,,,,MASTER OF TECHNOLOGY (M. Tech),,Male,jodhpur,,3186.0,Photonics,123,,,,abcde15,Power Engineering,,,,,,hdqzc16,View,RF and Microwave,,,India,,,,,,,2013,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,,electronics and electrical engineering,,Electrical Engineering (EE),,,4,,,,,234,yz14,,456@newmail.com,400.0,,x16,Percentage,,98.9,No,,,5200.0,ab6,Economically Weaker Sections,def15,,,8.0,2017,,Full Time,,61.27,,,EE
IITKPG2\M TECH\EE\17,480.0,,2015.0,,,,,,,,,,,,,21/12/96,,Yes,,Complete,,India,,,BE/BTech - Bachelor of Engineering/Technology,Semester,,,29/10/19,445.0,,17,17,SCIENCE,,,Secondary or equivalent,,Gujarat Secondary and Higher Secondary Education Board,,,,9.36,,10.0,,,nhfc16,,,600.0,2013.0,MASTER OF TECHNOLOGY (M. Tech),,Male,Ahmedabad,74.17,9.01,,123,,,,abcde16,Power Engineering,86.6,,,,,hdqzc17,View,,,,India,,,,Higher Secondary (10+2) or equivalent,GUJARATI MATHS SCIENCE,,2015,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,80.0,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,ELECTRICAL,Gujarat Technological University,,600.0,234,yz15,,123@newmail.com,400.0,,x17,CGPA,,91.83,No,,,10.0,ab7,GENERAL,def16,Gujarat Secondary and Higher Secondary Education Board,,,2019,,Full Time,,N.A.,2019.0,,EE
IITKPG2\M TECH\EE\18,,,,,,,,,,,,,,,,4/8/1994,,Yes,,Complete,,India,,,,Semester,,,9/10/2019,,,18,18,,,,,,,,,,,,,,,nhfc17,,,,,MASTER OF TECHNOLOGY (M. Tech),,Male,SULTANPUR,,5239.0,Photonics,123,,,,abcde17,Power Engineering,,,,,,hdqzc18,View,RF and Microwave,,,India,,,,,,,2013,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,,,,,234,yz16,,456@newmail.com,400.0,,x18,Percentage,,98.99,No,,,8000.0,ab8,GENERAL,def17,,,87.0,2017,,Full Time,,65.49,,,EE
IITKPG2\M TECH\EE\19,0.0,,2013.0,,,,,,,,,,,3.0,,10/6/1995,,Yes,,Complete,,India,,,BE/BTech - Bachelor of Engineering/Technology,Semester,,,4/10/2019,0.0,,19,19,"URDU,ENGLISH, HYSICS,CHEMISTRY,BIOLOGY,MATHEMATICS",,,Secondary or equivalent,,STATE BOARD,,,,0.0,,100.0,,,nhfc18,,,100.0,2011.0,MASTER OF TECHNOLOGY (M. Tech),,Male,BELAGAVI,79.0,5187.0,Photonics,123,,,,abcde18,Power Engineering,76.27,,,,,hdqzc19,View,RF and Microwave,,,India,,,,Higher Secondary (10+2) or equivalent,"URDU, KANNADA,ENGISH,SCIENCE,MATHEMATICS,SOCIAL SCIENCE,",,2013,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,89.6,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,ELECTRICAL ENGINEERING,VTU BELAGAVI,,100.0,234,yz17,,123@newmail.com,400.0,,x19,Percentage,,60.67,No,,,6800.0,ab9,OBC-NCL,def18,STATE BOARD,,65.0,2017,,Full Time,,76.28,2017.0,,EE
IITKPG2\M TECH\EE\20,443.0,,,,,,,,,,,,,53.0,,18/10/95,,Yes,,Incomplete,,India,,,,Semester,,,4/10/2019,,,20,20,,,,Higher Secondary (10+2) or equivalent,,U.P.BOARD,,,,,,,,,nhfc19,,,500.0,2013.0,MASTER OF TECHNOLOGY (M. Tech),,Male,LUCKNOW,,6342.0,,123,,,,abcde19,Power Engineering,,,,,,hdqzc20,View,RF and Microwave,,,India,,,,,"PHYSICS ,CHEMISTRY ,MATHS,HINDI,ENGLISH",,2013,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,88.6,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,,,,,234,yz18,,456@newmail.com,,,x20,Percentage,,95.17,No,,,8000.0,ab10,OBC-NCL,def19,,,,2017,,Full Time,,79.28,,,EE
IITKPG2\M TECH\EE\21,425.0,,,,,,,,,,,,,,,19/02/92,,Yes,,Complete,,India,,,,Semester,,,7/10/2019,,,21,21,,,,Higher Secondary (10+2) or equivalent,,UP BOARD,,,,,,,,,nhfc20,,,500.0,2014.0,MASTER OF TECHNOLOGY (M. Tech),,Male,NEW DELHI,,8.54,Photonics,123,,,,abcde20,Power Engineering,,,,,,hdqzc21,View,RF and Microwave,,,India,,,,,PCM,,2015,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,85.0,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,,,,,234,yz19,,123@newmail.com,400.0,,x21,CGPA,,,No,,,8.92,ab11,OBC-NCL,def20,,,,2019,,Full Time,,N.A.,,,EE
IITKPG2\M TECH\EE\22,292.0,,,,,,,,,,,,,,,29/12/93,,Yes,,Complete,,India,,,,Semester,,,10/10/2019,,,22,22,,,,Higher Secondary (10+2) or equivalent,,WEST BENGAL BOARD OF HIGHER SECONDARY EDUCATION,s@newmail.com,,,,,,,,nhfc21,,,500.0,2013.0,MASTER OF TECHNOLOGY (M. Tech),,Male,KOLKATA,,7.53,Photonics,123,,,,abcde21,Power Engineering,,,,,,hdqzc22,View,RF and Microwave,,,India,,,,,"BENGALI,ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",,2014,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,58.4,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,,,,,234,yz20,,456@newmail.com,400.0,,x22,CGPA,,56.0,No,,,10.0,ab12,GENERAL,def21,,,,2018,,Full Time,,N.A.,,,EE
IITKPG2\M TECH\EE\23,484.0,,2015.0,,,,,,,,,,,,,19/02/92,,Yes,,Complete,,India,,,,Semester,,,8/10/2019,446.0,,23,23,Science[PCM],,,Secondary or equivalent,,Board of Secondary Education Assam,random@kiit.ac.in,,,,,,,,nhfc22,,,600.0,2013.0,MASTER OF TECHNOLOGY (M. Tech),,Male,Bhubaneshwar,89.2,8.6,Power Engineering,123,,,,abcde22,Photonics,,,,,,hdqzc23,View,RF and Microwave,,,India,,,,Higher Secondary (10+2) or equivalent,0,,2015,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,80.67,Electronics and Telecommunication,,Electronics and Communication Engineering (EC),,,4,,,,500.0,234,yz21,,123@newmail.com,400.0,,x23,CGPA,,98.9,No,,,10.0,ab13,GENERAL,def22,Central Board of Secondary Education,,,2019,,Full Time,,N.A.,,,EE
IITKPG2\M TECH\EE\24,397.0,,,,,,,,,,,,,,,21/12/96,,Yes,,Complete,,India,,,,Semester,,,4/10/2019,,,24,24,,,,Higher Secondary (10+2) or equivalent,,CBSE,,,,,,,,,nhfc23,,,500.0,2014.0,MASTER OF TECHNOLOGY (M. Tech),,Male,Bikaner,,5696.0,Photonics,123,,,,abcde23,Power Engineering,,,,,,hdqzc24,View,RF and Microwave,,,India,,,,,PCM,,2015,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,79.4,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,,,,,234,yz22,,456@newmail.com,400.0,,x24,Percentage,,91.83,No,,,8000.0,ab14,OBC,def23,,,,2019,,Full Time,,71.2,,,EE
IITKPG2\M TECH\EE\25,356.0,,,,,,,,,,,,,,,4/8/1994,,Yes,,Complete,,India,,,,Semester,,,24/10/19,,,25,25,,,,Higher Secondary (10+2) or equivalent,,C.B.S.E.,,,,,,,,,nhfc24,,,500.0,2012.0,MASTER OF TECHNOLOGY (M. Tech),,Male,JODHPUR,,2581.0,Photonics,123,,,,abcde24,Power Engineering,,,,,,hdqzc25,View,RF and Microwave,,,India,,,,,"ENGLISH, MUSIC, MATHEMATICS, PHYSICS,CHEMISTRY",,2013,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,71.2,ELECTRICAL & ELECTRONICS ENGINEERING,,Electrical Engineering (EE),,,4,,,,,234,yz23,,123@newmail.com,400.0,,x25,Percentage,,95.28,No,,,4100.0,ab15,OBC-NCL,def24,,,,2017,,Full Time,,62.95,,,EE
IITKPG91\M TECH\EE\1,,,,,,,,,,,,,,,,21/12/96,,Yes,,Incomplete,,India,,,,Yearly,,,1/10/2019,,,1,199,,,,,,,,,,,,,,,test,,,,,MASTER OF TECHNOLOGY (M. Tech),,Male,test,,1400.0,,123,,,,,Photonics,,,,,,hdqzc1,View,Power Engineering,,,India,,,,,,,2014,Awarded,,,Bachelors Degree,,test,,Mechanical Engineering (ME),,,4,,,,,234,test,,123@newmail.com,,,x1,Percentage,,,No,,,2000.0,Test  Data,Economically Weaker Sections,"test , test - 208016",,,,2018,,Full Time,,70,,,EE
