Application Ref. No.,GATE 2017 Reg ID,PE 1 Max Score,GATE 2018 Reg ID,Category,Other 1 Rank,GATE 2018 Rank,Payment Status,Phd area of research,final_test,No. of Papers in Conf Not published,PE 1 Percentage,PE 2 Max Score,GATE 2017 Discipline,Other 2 Roll No./ Reg ID,Other 2 Max Score,PE 2 Degree,Degree Status,Preference 3,GATE 2019 Reg ID,Other 1 Roll No./ Reg ID,Other 1 Score,Submission Date,Experience 1 Roles & Responsibility,PE 2 Board / University,PE 3 Degree,View,Gender,Permanent Address,GATE 2019 Score,GATE 2017 Score,GATE 2018 Score,Marks Obtained,test,Experience 1 To,Other 2 Test Name,PE 3 Board / University,Referee 1 Name,DOB,Status,PE 2 Percentage,PE 3 Percentage,PE 3 Max Score,Rank,PE 1 Score,Preference 2,Year of Completion,Other 2 Valid Upto,Referee 1 Phone,Total Experience,PwD?,Other 2 Discipline,Institute Assistantship,Quantitative Aptitude Percentile,No. of Papers,PE 2 Score,Department,Email,Other 2 Test Year,Parent Email Id,Programme,Referee 2 Name,Mobile,Evaluation Pattern,Mother's Name,Experience 1 Designation,PE 3 Subjects,Fee,Other 1 Max Score,Finance Details,Referee 2 Email,GATE 2019 Rank,Referee 2 Address,Qualifying Discipline,Experience 1 Total Pay,Nationality,University Name,Referee 2 Organization,PE 1 Board / University,PE 1 Subjects,PE 3 Rank,Other 1 Valid Upto,Payment Date,PE 1 Rank,Other 1 Test Name,GATE 2019 Discipline,Other 1 Test Year,PE 3 Year,Percentile,Finance Method,Aadhaar Number,Duration,Qualifying Degree,Verbal & Reading Comprehension Percentile,Maximum Marks,PE 2 Rank,GATE 2018 Discipline,University City,University Country,Alt. Email,Data Integration & Logical Reasoning Percentile,Experience 1 Organization,PE 2 Subjects,PE 2 Year,Name,No. of Book Chapters,Other 2 Score,No. of Papers in Conference,PE 1 Year,Marital Status,Father's Name,Percentage,Referee 1 Address,GATE 2017 Rank,PE 1 Degree,Referee 1 Organization,PE 3 Score,Institute Name,S.No.,Other 1 Discipline,Referee 1 Email,Evaluation Method,Preference 1,Referee 2 Phone,Experience 1 From,Other 2 Rank,Year of Admission
IITKPG2\M TECH\EE\11,,500.0,,OBC-NCL,,,Complete,,,,51.6,500.0,,,,Higher Secondary (10+2) or equivalent,Full Time,,x11,,,25/10/19,FIRST LEVEL CHECKING OF  ELECTRONIC VOTING MACHINE,CBSE,,View,Male,def10,234,,,3779.0,,19-Jun,,,,21/12/96,Awarded,62.6,,,FIRST,258.0,RF and Microwave,2014,,,,No,,Yes,,,313.0,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,11,Semester,abcde10,JUNIOR TECHNICAL OFFICER (C),,400.0,,,,123,,Electronics and Communication Engineering (EC),"19,188/-",India,hdqzc11,,CBSE,SCIENCE,,,,,,Electronics and Communication Engineering (EC),,,81.12,,,4,BE/BTech - Bachelor of Engineering/Technology,,5000.0,,,LUCKNOW,India,,,"ELECTRONICS CORPORATION OF INDIA LIMITED, NEW DELH","PHYSICS,CHEMISTRY, MATHS",2010.0,ab1,,,,2007.0,,yz9,75.58,,,Secondary or equivalent,,,nhfc10,11,,,Percentage,Photonics,,19-Mar,,2010
IITKPG2\M TECH\EE\12,,500.0,,GENERAL,,,Complete,,,,84.2,700.0,,,,Secondary or equivalent,Full Time,RF and Microwave,x12,,,4/10/2019,,ICSE,,View,Male,def11,234,,,3932.0,,,,,,4/8/1994,Awarded,92.29,,,,421.0,Photonics,2018,,,,No,,Yes,,,646.0,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,12,Semester,abcde11,,,400.0,,,,123,,ELECTRICAL AND ELECTRONICS,,India,hdqzc12,,CBSE,"PCM,English,Physical Education",,,,,,Electrical Engineering (EE),,,96.98,,,4,BE/BTech - Bachelor of Engineering/Technology,,5000.0,,,LUCKNOW,India,,,,"Eng,Hindi,Science,E.Ed,Social studies,Computer Applications",2012.0,ab2,,,,2014.0,,yz10,78.64,,,Higher Secondary (10+2) or equivalent,,,nhfc11,12,,,Percentage,Power Engineering,,,,2014
IITKPG2\M TECH\EE\13,,,,Economically Weaker Sections,,,Complete,,,,,,,,,,Full Time,,x13,,,24/10/19,,,,View,Male,def12,234,,,3626.0,,,,,,29/12/93,Awarded,,,,,,Photonics,2017,,,,No,,Yes,,,,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,13,Semester,abcde12,,,400.0,,,,123,,ELECTRONIC ENGINEERING,,India,hdqzc13,,,,,,,,,Electronics and Communication Engineering (EC),,,96.8,,,4,BE/BTech - Bachelor of Engineering/Technology,,5000.0,,,ALLAHABAD,India,,,,,,ab3,,,,,,yz11,72.52,,,,,,nhfc12,13,,,Percentage,RF and Microwave,,,,2013
IITKPG2\M TECH\EE\14,,0.0,,GENERAL,,,Complete,,53.0,,91.2,500.0,,,,Higher Secondary (10+2) or equivalent,Full Time,Photonics,x14,,,9/10/2019,Learnt about the processes involved in Chemical Industry for production of Ammonia and Urea. ���� Learnt about the key Electrical Maintenance activities in a process industry.,CBSE,,View,Male,def13,234,,,8.2,,18-Jun,,,,19/02/92,Awarded,89.4,,,,0.0,RF and Microwave,2017,,,,No,,Yes,,,447.0,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,14,Semester,abcde13,GRADUATE ENGINEER TRAINEE,,400.0,,,,123,,Electrical Engineering (EE),35330,India,hdqzc14,,CBSE,MATHS SCIENCE,,,,,,Electrical Engineering (EE),,,45.0,,,4,BE/BTech - Bachelor of Engineering/Technology,,10.0,,,BHOPAL,India,,,CHAMBAL FERTILISERS AND CHEMICALS LIMITED KOTA,MATHS SCIENCE,2013.0,ab4,,,,2011.0,,yz12,N.A.,,,Secondary or equivalent,,,nhfc13,14,,,CGPA,Power Engineering,,17-Jul,,2013
IITKPG2\M TECH\EE\15,,500.0,,OBC-NCL,,,Complete,,,,72.8,500.0,,,,Higher Secondary (10+2) or equivalent,Full Time,Photonics,x15,,,15/10/19,,BIHAR SCHOOL SCHOOL EXAMINATION BOARD,,View,Male,def14,234,,,4640.0,,,,,,29/12/93,Awarded,70.4,,,,364.0,RF and Microwave,2017,,,,No,,Yes,,,352.0,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,15,Semester,abcde14,,,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc15,,BIHAR SCHOOL EXAMINATION BOARD,"HINDI, SANSKRIT, MATH, SCIENCE, SOCIAL SCIENCE",,,,,,Electrical Engineering (EE),,,56.0,,25976.0,4,BE/BTech - Bachelor of Engineering/Technology,,6400.0,,,HARIDWAR,India,,,,"HINDI, ENGLISH, MATH, PHYSICS, CHEMISTRY",2012.0,ab5,,,,2010.0,,yz13,72.5,,,Secondary or equivalent,,,nhfc14,15,,,Percentage,Power Engineering,,,,2013
IITKPG2\M TECH\EE\16,,,,Economically Weaker Sections,,,Complete,,,,,,,,,,Full Time,Photonics,x16,,,24/10/19,,,,View,Male,def15,234,,,3186.0,8.0,,,,,19/02/92,Awarded,,,,,,RF and Microwave,2017,,,,No,,Yes,,,,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,16,Semester,abcde15,,,400.0,,,,123,,electronics and electrical engineering,,India,hdqzc16,,,,,,,,,Electrical Engineering (EE),,,98.9,,,4,BE/BTech - Bachelor of Engineering/Technology,,5200.0,,,jodhpur,India,,,,,,ab6,,,,,,yz14,61.27,,,,,,nhfc15,16,,,Percentage,Power Engineering,,,,2013
IITKPG2\M TECH\EE\17,,600.0,,GENERAL,,,Complete,,,,80.0,600.0,,,,Higher Secondary (10+2) or equivalent,Full Time,,x17,,,29/10/19,,Gujarat Secondary and Higher Secondary Education Board,BE/BTech - Bachelor of Engineering/Technology,View,Male,def16,234,,,9.01,,,,Gujarat Technological University,,21/12/96,Awarded,74.17,86.6,10.0,,480.0,,2019,,,,No,,Yes,,,445.0,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,17,Semester,abcde16,,ELECTRICAL,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc17,,Gujarat Secondary and Higher Secondary Education Board,GUJARATI MATHS SCIENCE,,,,,,Electrical Engineering (EE),,2019.0,91.83,,,4,BE/BTech - Bachelor of Engineering/Technology,,10.0,,,Ahmedabad,India,,,,SCIENCE,2015.0,ab7,,,,2013.0,,yz15,N.A.,,,Secondary or equivalent,,9.36,nhfc16,17,,,CGPA,Power Engineering,,,,2015
IITKPG2\M TECH\EE\18,,,,GENERAL,,,Complete,,,,,,,,,,Full Time,Photonics,x18,,,9/10/2019,,,,View,Male,def17,234,,,5239.0,87.0,,,,,4/8/1994,Awarded,,,,,,RF and Microwave,2017,,,,No,,Yes,,,,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,18,Semester,abcde17,,,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc18,,,,,,,,,Electrical Engineering (EE),,,98.99,,,4,BE/BTech - Bachelor of Engineering/Technology,,8000.0,,,SULTANPUR,India,,,,,,ab8,,,,,,yz16,65.49,,,,,,nhfc17,18,,,Percentage,Power Engineering,,,,2013
IITKPG2\M TECH\EE\19,,100.0,,OBC-NCL,,,Complete,,3.0,,89.6,100.0,,,,Higher Secondary (10+2) or equivalent,Full Time,Photonics,x19,,,4/10/2019,,STATE BOARD,BE/BTech - Bachelor of Engineering/Technology,View,Male,def18,234,,,5187.0,65.0,,,VTU BELAGAVI,,10/6/1995,Awarded,79.0,76.27,100.0,,0.0,RF and Microwave,2017,,,,No,,Yes,,,0.0,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,19,Semester,abcde18,,ELECTRICAL ENGINEERING,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc19,,STATE BOARD,"URDU, KANNADA,ENGISH,SCIENCE,MATHEMATICS,SOCIAL SCIENCE,",,,,,,Electrical Engineering (EE),,2017.0,60.67,,,4,BE/BTech - Bachelor of Engineering/Technology,,6800.0,,,BELAGAVI,India,,,,"URDU,ENGLISH, HYSICS,CHEMISTRY,BIOLOGY,MATHEMATICS",2013.0,ab9,,,,2011.0,,yz17,76.28,,,Secondary or equivalent,,0.0,nhfc18,19,,,Percentage,Power Engineering,,,,2013
IITKPG2\M TECH\EE\20,,500.0,,OBC-NCL,,,Incomplete,,53.0,,88.6,,,,,,Full Time,,x20,,,4/10/2019,,,,View,Male,def19,234,,,6342.0,,,,,,18/10/95,Awarded,,,,,443.0,RF and Microwave,2017,,,,No,,Yes,,,,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,20,Semester,abcde19,,,,,,,123,,Electrical Engineering (EE),,India,hdqzc20,,U.P.BOARD,"PHYSICS ,CHEMISTRY ,MATHS,HINDI,ENGLISH",,,,,,Electrical Engineering (EE),,,95.17,,,4,BE/BTech - Bachelor of Engineering/Technology,,8000.0,,,LUCKNOW,India,,,,,,ab10,,,,2013.0,,yz18,79.28,,,Higher Secondary (10+2) or equivalent,,,nhfc19,20,,,Percentage,Power Engineering,,,,2013
IITKPG2\M TECH\EE\21,,500.0,,OBC-NCL,,,Complete,,,,85.0,,,,,,Full Time,Photonics,x21,,,7/10/2019,,,,View,Male,def20,234,,,8.54,,,,,,19/02/92,Awarded,,,,,425.0,RF and Microwave,2019,,,,No,,Yes,,,,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,21,Semester,abcde20,,,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc21,,UP BOARD,PCM,,,,,,Electrical Engineering (EE),,,,,,4,BE/BTech - Bachelor of Engineering/Technology,,8.92,,,NEW DELHI,India,,,,,,ab11,,,,2014.0,,yz19,N.A.,,,Higher Secondary (10+2) or equivalent,,,nhfc20,21,,,CGPA,Power Engineering,,,,2015
IITKPG2\M TECH\EE\22,,500.0,,GENERAL,,,Complete,,,,58.4,,,,,,Full Time,Photonics,x22,,,10/10/2019,,,,View,Male,def21,234,,,7.53,,,,,,29/12/93,Awarded,,,,,292.0,RF and Microwave,2018,,,,No,,Yes,,,,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,22,Semester,abcde21,,,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc22,,WEST BENGAL BOARD OF HIGHER SECONDARY EDUCATION,"BENGALI,ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",,,,,,Electrical Engineering (EE),,,56.0,,,4,BE/BTech - Bachelor of Engineering/Technology,,10.0,,,KOLKATA,India,s@newmail.com,,,,,ab12,,,,2013.0,,yz20,N.A.,,,Higher Secondary (10+2) or equivalent,,,nhfc21,22,,,CGPA,Power Engineering,,,,2014
IITKPG2\M TECH\EE\23,,600.0,,GENERAL,,,Complete,,,,80.67,500.0,,,,Higher Secondary (10+2) or equivalent,Full Time,Power Engineering,x23,,,8/10/2019,,Central Board of Secondary Education,,View,Male,def22,234,,,8.6,,,,,,19/02/92,Awarded,89.2,,,,484.0,RF and Microwave,2019,,,,No,,Yes,,,446.0,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,23,Semester,abcde22,,,400.0,,,,123,,Electronics and Telecommunication,,India,hdqzc23,,Board of Secondary Education Assam,0,,,,,,Electronics and Communication Engineering (EC),,,98.9,,,4,BE/BTech - Bachelor of Engineering/Technology,,10.0,,,Bhubaneshwar,India,random@kiit.ac.in,,,Science[PCM],2015.0,ab13,,,,2013.0,,yz21,N.A.,,,Secondary or equivalent,,,nhfc22,23,,,CGPA,Photonics,,,,2015
IITKPG2\M TECH\EE\24,,500.0,,OBC,,,Complete,,,,79.4,,,,,,Full Time,Photonics,x24,,,4/10/2019,,,,View,Male,def23,234,,,5696.0,,,,,,21/12/96,Awarded,,,,,397.0,RF and Microwave,2019,,,,No,,Yes,,,,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,24,Semester,abcde23,,,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc24,,CBSE,PCM,,,,,,Electrical Engineering (EE),,,91.83,,,4,BE/BTech - Bachelor of Engineering/Technology,,8000.0,,,Bikaner,India,,,,,,ab14,,,,2014.0,,yz22,71.2,,,Higher Secondary (10+2) or equivalent,,,nhfc23,24,,,Percentage,Power Engineering,,,,2015
IITKPG2\M TECH\EE\25,,500.0,,OBC-NCL,,,Complete,,,,71.2,,,,,,Full Time,Photonics,x25,,,24/10/19,,,,View,Male,def24,234,,,2581.0,,,,,,4/8/1994,Awarded,,,,,356.0,RF and Microwave,2017,,,,No,,Yes,,,,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,25,Semester,abcde24,,,400.0,,,,123,,ELECTRICAL & ELECTRONICS ENGINEERING,,India,hdqzc25,,C.B.S.E.,"ENGLISH, MUSIC, MATHEMATICS, PHYSICS,CHEMISTRY",,,,,,Electrical Engineering (EE),,,95.28,,,4,BE/BTech - Bachelor of Engineering/Technology,,4100.0,,,JODHPUR,India,,,,,,ab15,,,,2012.0,,yz23,62.95,,,Higher Secondary (10+2) or equivalent,,,nhfc24,25,,,Percentage,Power Engineering,,,,2013
IITKPG91\M TECH\EE\1,,,,Economically Weaker Sections,,,Incomplete,,,,,,,,,,Full Time,,x1,,,1/10/2019,,,,View,Male,"test , test - 208016",234,,,1400.0,,,,,,21/12/96,Awarded,,,,,,Power Engineering,2018,,,,No,,Yes,,,,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,1,Yearly,,,,,,,,123,,test,,India,hdqzc1,,,,,,,,,Mechanical Engineering (ME),,,,,,4,Bachelors Degree,,2000.0,,,test,India,,,,,,Test  Data,,,,,,test,70,,,,,,test,199,,,Percentage,Photonics,,,,2014
