S.No.,View,Application Ref. No.,Submission Date,Payment Status,Fee,Payment Date,Name,Gender,DOB,Nationality,Category,PwD?,Marital Status,Email,Alt. Email,Mobile,Father's Name,Mother's Name,Parent Email Id,Aadhaar Number,Permanent Address,Degree Status,Programme,Department,Preference 1,Preference 2,Preference 3,Phd area of research,Institute Assistantship,Finance Method,Finance Details,GATE 2019 Reg ID,GATE 2019 Discipline,GATE 2019 Score,GATE 2019 Rank,GATE 2018 Reg ID,GATE 2018 Discipline,GATE 2018 Score,GATE 2018 Rank,GATE 2017 Reg ID,GATE 2017 Discipline,GATE 2017 Score,GATE 2017 Rank,Other 1 Roll No./ Reg ID,Other 1 Score,Other 1 Max Score,Other 1 Valid Upto,Other 1 Test Name,Other 1 Test Year,Other 1 Discipline,Other 1 Rank,Percentile,Quantitative Aptitude Percentile,Data Integration & Logical Reasoning Percentile,Verbal & Reading Comprehension Percentile,Other 2 Roll No./ Reg ID,Other 2 Score,Other 2 Max Score,Other 2 Valid Upto,Other 2 Test Name,Other 2 Test Year,Other 2 Discipline,Other 2 Rank,Qualifying Degree,Qualifying Discipline,University Name,University City,University Country,Institute Name,Year of Admission,Year of Completion,Duration,Status,Rank,Evaluation Pattern,Evaluation Method,Marks Obtained,Maximum Marks,Percentage,Total Experience,Experience 1 Organization,Experience 1 Designation,Experience 1 From,Experience 1 To,Experience 1 Roles & Responsibility,Experience 1 Total Pay,No. of Papers,No. of Papers in Conference,No. of Papers in Conf Not published,No. of Book Chapters,Referee 1 Name,Referee 1 Organization,Referee 1 Email,Referee 1 Phone,Referee 1 Address,Referee 2 Name,Referee 2 Organization,Referee 2 Email,Referee 2 Phone,Referee 2 Address,PE 1 Degree,PE 1 Year,PE 1 Board / University,PE 1 Subjects,PE 1 Score,PE 1 Max Score,PE 1 Percentage,PE 1 Rank,PE 2 Degree,PE 2 Year,PE 2 Board / University,PE 2 Subjects,PE 2 Score,PE 2 Max Score,PE 2 Percentage,PE 2 Rank,PE 3 Degree,PE 3 Year,PE 3 Board / University,PE 3 Subjects,PE 3 Score,PE 3 Max Score,PE 3 Percentage,PE 3 Rank,test,final_test
11,View,IITKPG2\M TECH\EE\11,25/10/19,Complete,400,N/A,ab1,Male,21/12/96,India,OBC-NCL,No,,123@newmail.com,,11,yz9,abcde10,,,def10,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Photonics,RF and Microwave,,,Yes,,,x11,Electronics and Communication Engineering (EC),234,123,,,,,,,,,,,,,,,,,81.12,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electronics and Communication Engineering (EC),hdqzc11,LUCKNOW,India,nhfc10,2010,2014,4,Awarded,FIRST,Semester,Percentage,3779,5000,75.58,,"ELECTRONICS CORPORATION OF INDIA LIMITED, NEW DELH",JUNIOR TECHNICAL OFFICER (C),19-Mar,19-Jun,FIRST LEVEL CHECKING OF  ELECTRONIC VOTING MACHINE,"19,188/-",,,,,,,,,,,,,,,Secondary or equivalent,2007,CBSE,SCIENCE,258,500,51.6,,Higher Secondary (10+2) or equivalent,2010,CBSE,"PHYSICS,CHEMISTRY, MATHS",313,500,62.6,,,,,,,,,,,
12,View,IITKPG2\M TECH\EE\12,4/10/2019,Complete,400,N/A,ab2,Male,4/8/1994,India,GENERAL,No,,456@newmail.com,,12,yz10,abcde11,,,def11,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,Photonics,RF and Microwave,,Yes,,,x12,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,96.98,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,ELECTRICAL AND ELECTRONICS,hdqzc12,LUCKNOW,India,nhfc11,2014,2018,4,Awarded,,Semester,Percentage,3932,5000,78.64,,,,,,,,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2014,CBSE,"PCM,English,Physical Education",421,500,84.2,,Secondary or equivalent,2012,ICSE,"Eng,Hindi,Science,E.Ed,Social studies,Computer Applications",646,700,92.29,,,,,,,,,,,
13,View,IITKPG2\M TECH\EE\13,24/10/19,Complete,400,N/A,ab3,Male,29/12/93,India,Economically Weaker Sections,No,,123@newmail.com,,13,yz11,abcde12,,,def12,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,RF and Microwave,Photonics,,,Yes,,,x13,Electronics and Communication Engineering (EC),234,123,,,,,,,,,,,,,,,,,96.8,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,ELECTRONIC ENGINEERING,hdqzc13,ALLAHABAD,India,nhfc12,2013,2017,4,Awarded,,Semester,Percentage,3626,5000,72.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,View,IITKPG2\M TECH\EE\14,9/10/2019,Complete,400,N/A,ab4,Male,19/02/92,India,GENERAL,No,,456@newmail.com,,14,yz12,abcde13,,,def13,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x14,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc14,BHOPAL,India,nhfc13,2013,2017,4,Awarded,,Semester,CGPA,8.2,10,N.A.,,CHAMBAL FERTILISERS AND CHEMICALS LIMITED KOTA,GRADUATE ENGINEER TRAINEE,17-Jul,18-Jun,Learnt about the processes involved in Chemical Industry for production of Ammonia and Urea. ���� Learnt about the key Electrical Maintenance activities in a process industry.,35330,,,,,,,,,,,,,,,Secondary or equivalent,2011,CBSE,MATHS SCIENCE,0,0,91.2,,Higher Secondary (10+2) or equivalent,2013,CBSE,MATHS SCIENCE,447,500,89.4,,,,,,,,,,,53
15,View,IITKPG2\M TECH\EE\15,15/10/19,Complete,400,N/A,ab5,Male,29/12/93,India,OBC-NCL,No,,123@newmail.com,,15,yz13,abcde14,,25976,def14,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x15,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc15,HARIDWAR,India,nhfc14,2013,2017,4,Awarded,,Semester,Percentage,4640,6400,72.5,,,,,,,,,,,,,,,,,,,,,,Secondary or equivalent,2010,BIHAR SCHOOL EXAMINATION BOARD,"HINDI, SANSKRIT, MATH, SCIENCE, SOCIAL SCIENCE",364,500,72.8,,Higher Secondary (10+2) or equivalent,2012,BIHAR SCHOOL SCHOOL EXAMINATION BOARD,"HINDI, ENGLISH, MATH, PHYSICS, CHEMISTRY",352,500,70.4,,,,,,,,,,,
16,View,IITKPG2\M TECH\EE\16,24/10/19,Complete,400,N/A,ab6,Male,19/02/92,India,Economically Weaker Sections,No,,456@newmail.com,,16,yz14,abcde15,,,def15,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x16,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,98.9,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,electronics and electrical engineering,hdqzc16,jodhpur,India,nhfc15,2013,2017,4,Awarded,,Semester,Percentage,3186,5200,61.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
17,View,IITKPG2\M TECH\EE\17,29/10/19,Complete,400,N/A,ab7,Male,21/12/96,India,GENERAL,No,,123@newmail.com,,17,yz15,abcde16,,,def16,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,,,,Yes,,,x17,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,91.83,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc17,Ahmedabad,India,nhfc16,2015,2019,4,Awarded,,Semester,CGPA,9.01,10,N.A.,,,,,,,,,,,,,,,,,,,,,,Secondary or equivalent,2013,Gujarat Secondary and Higher Secondary Education Board,GUJARATI MATHS SCIENCE,480,600,80,,Higher Secondary (10+2) or equivalent,2015,Gujarat Secondary and Higher Secondary Education Board,SCIENCE,445,600,74.17,,BE/BTech - Bachelor of Engineering/Technology,2019,Gujarat Technological University,ELECTRICAL,9.36,10,86.6,,,
18,View,IITKPG2\M TECH\EE\18,9/10/2019,Complete,400,N/A,ab8,Male,4/8/1994,India,GENERAL,No,,456@newmail.com,,18,yz16,abcde17,,,def17,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x18,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,98.99,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc18,SULTANPUR,India,nhfc17,2013,2017,4,Awarded,,Semester,Percentage,5239,8000,65.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,
19,View,IITKPG2\M TECH\EE\19,4/10/2019,Complete,400,N/A,ab9,Male,10/6/1995,India,OBC-NCL,No,,123@newmail.com,,19,yz17,abcde18,,,def18,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x19,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,60.67,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc19,BELAGAVI,India,nhfc18,2013,2017,4,Awarded,,Semester,Percentage,5187,6800,76.28,,,,,,,,,,,,,,,,,,,,,,Secondary or equivalent,2011,STATE BOARD,"URDU, KANNADA,ENGISH,SCIENCE,MATHEMATICS,SOCIAL SCIENCE,",0,100,89.6,,Higher Secondary (10+2) or equivalent,2013,STATE BOARD,"URDU,ENGLISH, HYSICS,CHEMISTRY,BIOLOGY,MATHEMATICS",0,100,79,,BE/BTech - Bachelor of Engineering/Technology,2017,VTU BELAGAVI,ELECTRICAL ENGINEERING,0,100,76.27,,65,3
20,View,IITKPG2\M TECH\EE\20,4/10/2019,Incomplete,,N/A,ab10,Male,18/10/95,India,OBC-NCL,No,,456@newmail.com,,20,yz18,abcde19,,,def19,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,,,Yes,,,x20,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,95.17,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc20,LUCKNOW,India,nhfc19,2013,2017,4,Awarded,,Semester,Percentage,6342,8000,79.28,,,,,,,,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2013,U.P.BOARD,"PHYSICS ,CHEMISTRY ,MATHS,HINDI,ENGLISH",443,500,88.6,,,,,,,,,,,,,,,,,,,53
21,View,IITKPG2\M TECH\EE\21,7/10/2019,Complete,400,N/A,ab11,Male,19/02/92,India,OBC-NCL,No,,123@newmail.com,,21,yz19,abcde20,,,def20,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x21,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc21,NEW DELHI,India,nhfc20,2015,2019,4,Awarded,,Semester,CGPA,8.54,8.92,N.A.,,,,,,,,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2014,UP BOARD,PCM,425,500,85,,,,,,,,,,,,,,,,,,,
22,View,IITKPG2\M TECH\EE\22,10/10/2019,Complete,400,N/A,ab12,Male,29/12/93,India,GENERAL,No,,456@newmail.com,s@newmail.com,22,yz20,abcde21,,,def21,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x22,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc22,KOLKATA,India,nhfc21,2014,2018,4,Awarded,,Semester,CGPA,7.53,10,N.A.,,,,,,,,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2013,WEST BENGAL BOARD OF HIGHER SECONDARY EDUCATION,"BENGALI,ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",292,500,58.4,,,,,,,,,,,,,,,,,,,
23,View,IITKPG2\M TECH\EE\23,8/10/2019,Complete,400,N/A,ab13,Male,19/02/92,India,GENERAL,No,,123@newmail.com,random@kiit.ac.in,23,yz21,abcde22,,,def22,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Photonics,RF and Microwave,Power Engineering,,Yes,,,x23,Electronics and Communication Engineering (EC),234,123,,,,,,,,,,,,,,,,,98.9,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electronics and Telecommunication,hdqzc23,Bhubaneshwar,India,nhfc22,2015,2019,4,Awarded,,Semester,CGPA,8.6,10,N.A.,,,,,,,,,,,,,,,,,,,,,,Secondary or equivalent,2013,Board of Secondary Education Assam,0,484,600,80.67,,Higher Secondary (10+2) or equivalent,2015,Central Board of Secondary Education,Science[PCM],446,500,89.2,,,,,,,,,,,
24,View,IITKPG2\M TECH\EE\24,4/10/2019,Complete,400,N/A,ab14,Male,21/12/96,India,OBC,No,,456@newmail.com,,24,yz22,abcde23,,,def23,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x24,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,91.83,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc24,Bikaner,India,nhfc23,2015,2019,4,Awarded,,Semester,Percentage,5696,8000,71.2,,,,,,,,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2014,CBSE,PCM,397,500,79.4,,,,,,,,,,,,,,,,,,,
25,View,IITKPG2\M TECH\EE\25,24/10/19,Complete,400,N/A,ab15,Male,4/8/1994,India,OBC-NCL,No,,123@newmail.com,,25,yz23,abcde24,,,def24,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x25,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,95.28,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,ELECTRICAL & ELECTRONICS ENGINEERING,hdqzc25,JODHPUR,India,nhfc24,2013,2017,4,Awarded,,Semester,Percentage,2581,4100,62.95,,,,,,,,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2012,C.B.S.E.,"ENGLISH, MUSIC, MATHEMATICS, PHYSICS,CHEMISTRY",356,500,71.2,,,,,,,,,,,,,,,,,,,
199,View,IITKPG91\M TECH\EE\1,1/10/2019,Incomplete,,N/A,Test  Data,Male,21/12/96,India,Economically Weaker Sections,No,,123@newmail.com,,1,test,,,,"test , test - 208016",Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Photonics,Power Engineering,,,Yes,,,x1,Mechanical Engineering (ME),234,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors Degree,test,hdqzc1,test,India,test,2014,2018,4,Awarded,,Yearly,Percentage,1400,2000,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
